Date,Hour,load,scenario,period
14/06/2018,4,10223.3,56,3
14/06/2018,4,10454.4,57,3
14/06/2018,4,8759.0,58,3
14/06/2018,4,10613.9,59,3
14/06/2018,4,9563.2,60,3
14/06/2018,4,9867.3,61,3
14/06/2018,4,10639.4,62,3
14/06/2018,4,9338.5,63,3
14/06/2018,4,10603.7,64,3
14/06/2018,4,10600.0,65,3
14/06/2018,4,9021.7,66,3
14/06/2018,4,9404.5,67,3
14/06/2018,4,9490.2,68,3
14/06/2018,4,10423.4,69,3
14/06/2018,4,10581.3,70,3
14/06/2018,4,10371.9,71,3
14/06/2018,4,10851.7,72,3
14/06/2018,4,10806.5,73,3
14/06/2018,4,9834.5,74,3
14/06/2018,4,10051.1,75,3
14/06/2018,4,10470.3,76,3
14/06/2018,4,10815.1,77,3
14/06/2018,4,9296.6,78,3
14/06/2018,4,10313.4,79,3
14/06/2018,4,9498.9,80,3
14/06/2018,4,10575.8,81,3
14/06/2018,4,10451.4,82,3
14/06/2018,4,11246.9,83,3
14/06/2018,4,11084.5,84,3
14/06/2018,4,11490.0,85,3
14/06/2018,4,10969.3,86,3
14/06/2018,4,10301.1,87,3
14/06/2018,4,10857.0,88,3
14/06/2018,4,10679.9,89,3
14/06/2018,4,11509.6,90,3
14/06/2018,4,10916.4,91,3
14/06/2018,4,10619.9,92,3
14/06/2018,4,11175.1,93,3
14/06/2018,4,12244.0,94,3
14/06/2018,4,12200.9,95,3
14/06/2018,4,11223.3,96,3
14/06/2018,4,11161.0,97,3
14/06/2018,4,10977.1,98,3
14/06/2018,4,12179.2,99,3
14/06/2018,4,13774.1,100,3
14/06/2018,5,5711.8,1,4
14/06/2018,5,5634.0,2,4
14/06/2018,5,5507.8,3,4
14/06/2018,5,5931.1,4,4
14/06/2018,5,7437.5,5,4
14/06/2018,5,7159.6,6,4
14/06/2018,5,7338.4,7,4
14/06/2018,5,7111.7,8,4
14/06/2018,5,7561.4,9,4
14/06/2018,5,7894.2,10,4
14/06/2018,5,8054.6,11,4
14/06/2018,5,7289.4,12,4
14/06/2018,5,7594.7,13,4
14/06/2018,5,8142.1,14,4
14/06/2018,5,6766.8,15,4
14/06/2018,5,7384.9,16,4
14/06/2018,5,8355.9,17,4
14/06/2018,5,7078.8,18,4
14/06/2018,5,8183.6,19,4
14/06/2018,5,7948.0,20,4
14/06/2018,5,7606.4,21,4
14/06/2018,5,8576.9,22,4
14/06/2018,5,7771.9,23,4
14/06/2018,5,8645.4,24,4
14/06/2018,5,8668.5,25,4
14/06/2018,5,7561.4,26,4
14/06/2018,5,8495.7,27,4
14/06/2018,5,9146.2,28,4
14/06/2018,5,8647.9,29,4
14/06/2018,5,7810.1,30,4
14/06/2018,5,8125.3,31,4
14/06/2018,5,8242.1,32,4
14/06/2018,5,8192.0,33,4
14/06/2018,5,9487.6,34,4
14/06/2018,5,9310.0,35,4
14/06/2018,5,9113.3,36,4
14/06/2018,5,8130.5,37,4
14/06/2018,5,8885.1,38,4
14/06/2018,5,8639.9,39,4
14/06/2018,5,8805.7,40,4
14/06/2018,5,8598.6,41,4
14/06/2018,5,8770.0,42,4
14/06/2018,5,8625.6,43,4
14/06/2018,5,9745.7,44,4
14/06/2018,5,9521.2,45,4
14/06/2018,5,9048.8,46,4
14/06/2018,5,9704.2,47,4
14/06/2018,5,8488.2,48,4
14/06/2018,5,9563.2,49,4
14/06/2018,5,10225.9,50,4
14/06/2018,5,9693.3,51,4
14/06/2018,5,9013.0,52,4
14/06/2018,5,10095.0,53,4
14/06/2018,5,10476.8,54,4
14/06/2018,5,10234.0,55,4
14/06/2018,5,9083.2,56,4
14/06/2018,5,8776.5,57,4
14/06/2018,5,9593.8,58,4
14/06/2018,5,9681.7,59,4
14/06/2018,5,9712.0,60,4
14/06/2018,5,9879.1,61,4
14/06/2018,5,9401.0,62,4
14/06/2018,5,10595.1,63,4
14/06/2018,5,9076.2,64,4
14/06/2018,5,8863.2,65,4
14/06/2018,5,9418.2,66,4
14/06/2018,5,9210.8,67,4
14/06/2018,5,10257.6,68,4
14/06/2018,5,9738.4,69,4
14/06/2018,5,10363.6,70,4
14/06/2018,5,10568.6,71,4
14/06/2018,5,10702.9,72,4
14/06/2018,5,10445.4,73,4
14/06/2018,5,9289.3,74,4
14/06/2018,5,9147.6,75,4
14/06/2018,5,9671.3,76,4
14/06/2018,5,10793.8,77,4
14/06/2018,5,9256.6,78,4
14/06/2018,5,10296.9,79,4
14/06/2018,5,11245.0,80,4
14/06/2018,5,9295.0,81,4
14/06/2018,5,10244.9,82,4
14/06/2018,5,11017.3,83,4
14/06/2018,5,10900.2,84,4
14/06/2018,5,10949.2,85,4
14/06/2018,5,11151.6,86,4
14/06/2018,5,10727.6,87,4
14/06/2018,5,9761.1,88,4
14/06/2018,5,10773.7,89,4
14/06/2018,5,10130.4,90,4
14/06/2018,5,11046.0,91,4
14/06/2018,5,11893.9,92,4
14/06/2018,5,10052.1,93,4
14/06/2018,5,11996.5,94,4
14/06/2018,5,10697.0,95,4
14/06/2018,5,12756.3,96,4
14/06/2018,5,12095.1,97,4
14/06/2018,5,11608.0,98,4
14/06/2018,5,12059.8,99,4
14/06/2018,5,14681.2,100,4
14/06/2018,6,5213.1,1,5
14/06/2018,6,5885.7,2,5
14/06/2018,6,5629.1,3,5
14/06/2018,6,6028.6,4,5
14/06/2018,6,6780.0,5,5
14/06/2018,6,7641.2,6,5
14/06/2018,6,7083.9,7,5
14/06/2018,6,7860.9,8,5
14/06/2018,6,8238.0,9,5
14/06/2018,6,8143.4,10,5
14/06/2018,6,7847.5,11,5
14/06/2018,6,7445.7,12,5
14/06/2018,6,7270.4,13,5
14/06/2018,6,6976.4,14,5
14/06/2018,6,7110.1,15,5
14/06/2018,6,8387.9,16,5
14/06/2018,6,8286.3,17,5
14/06/2018,6,7633.6,18,5
14/06/2018,6,7377.3,19,5
14/06/2018,6,8703.6,20,5
14/06/2018,6,7740.3,21,5
14/06/2018,6,7556.8,22,5
14/06/2018,6,8630.0,23,5
14/06/2018,6,9276.4,24,5
14/06/2018,6,8719.1,25,5
14/06/2018,6,8065.5,26,5
14/06/2018,6,8019.1,27,5
14/06/2018,6,8243.5,28,5
14/06/2018,6,8318.5,29,5
14/06/2018,6,8630.9,30,5
14/06/2018,6,8275.6,31,5
14/06/2018,6,9257.0,32,5
14/06/2018,6,8919.5,33,5
14/06/2018,6,8595.3,34,5
14/06/2018,6,8230.7,35,5
14/06/2018,6,8558.8,36,5
14/06/2018,6,9377.1,37,5
14/06/2018,6,8701.2,38,5
14/06/2018,6,9241.2,39,5
14/06/2018,6,9065.7,40,5
14/06/2018,6,10005.2,41,5
14/06/2018,6,9661.0,42,5
14/06/2018,6,8697.5,43,5
14/06/2018,6,9324.1,44,5
14/06/2018,6,10297.3,45,5
14/06/2018,6,9906.5,46,5
14/06/2018,6,9190.6,47,5
14/06/2018,6,9713.5,48,5
14/06/2018,6,9617.1,49,5
14/06/2018,6,9171.2,50,5
14/06/2018,6,8704.8,51,5
14/06/2018,6,9977.8,52,5
14/06/2018,6,10033.9,53,5
14/06/2018,6,10508.0,54,5
14/06/2018,6,10470.0,55,5
14/06/2018,6,9532.5,56,5
14/06/2018,6,9680.4,57,5
14/06/2018,6,10579.7,58,5
14/06/2018,6,9638.0,59,5
14/06/2018,6,8908.3,60,5
14/06/2018,6,10100.7,61,5
14/06/2018,6,10099.4,62,5
14/06/2018,6,9762.5,63,5
14/06/2018,6,10810.6,64,5
14/06/2018,6,9250.8,65,5
14/06/2018,6,10568.1,66,5
14/06/2018,6,9123.3,67,5
14/06/2018,6,10904.5,68,5
14/06/2018,6,10029.2,69,5
14/06/2018,6,9746.1,70,5
14/06/2018,6,9955.2,71,5
14/06/2018,6,10561.2,72,5
14/06/2018,6,9406.1,73,5
14/06/2018,6,10969.9,74,5
14/06/2018,6,11189.5,75,5
14/06/2018,6,10447.7,76,5
14/06/2018,6,10873.3,77,5
14/06/2018,6,10402.0,78,5
14/06/2018,6,10730.5,79,5
14/06/2018,6,9517.3,80,5
14/06/2018,6,11272.6,81,5
14/06/2018,6,9747.0,82,5
14/06/2018,6,10184.9,83,5
14/06/2018,6,10817.0,84,5
14/06/2018,6,11299.8,85,5
14/06/2018,6,10074.8,86,5
14/06/2018,6,10645.1,87,5
14/06/2018,6,11579.0,88,5
14/06/2018,6,11140.4,89,5
14/06/2018,6,11326.6,90,5
14/06/2018,6,10335.5,91,5
14/06/2018,6,11104.0,92,5
14/06/2018,6,11688.2,93,5
14/06/2018,6,10956.7,94,5
14/06/2018,6,11058.3,95,5
14/06/2018,6,11793.7,96,5
14/06/2018,6,13173.3,97,5
14/06/2018,6,13383.8,98,5
14/06/2018,6,13416.3,99,5
14/06/2018,6,15909.2,100,5
14/06/2018,7,6870.9,1,6
14/06/2018,7,7036.5,2,6
14/06/2018,7,6061.6,3,6
14/06/2018,7,7441.4,4,6
14/06/2018,7,7643.5,5,6
14/06/2018,7,7932.3,6,6
14/06/2018,7,7690.0,7,6
14/06/2018,7,8567.2,8,6
14/06/2018,7,8599.7,9,6
14/06/2018,7,8680.5,10,6
14/06/2018,7,8959.0,11,6
14/06/2018,7,7810.7,12,6
14/06/2018,7,8224.1,13,6
14/06/2018,7,9358.9,14,6
14/06/2018,7,8152.4,15,6
14/06/2018,7,9226.6,16,6
14/06/2018,7,9482.0,17,6
14/06/2018,7,8038.2,18,6
14/06/2018,7,8261.2,19,6
14/06/2018,7,8102.2,20,6
14/06/2018,7,8610.8,21,6
14/06/2018,7,8112.8,22,6
14/06/2018,7,8514.7,23,6
14/06/2018,7,8850.1,24,6
14/06/2018,7,9719.3,25,6
14/06/2018,7,9818.0,26,6
14/06/2018,7,9141.7,27,6
14/06/2018,7,10352.4,28,6
14/06/2018,7,9214.8,29,6
14/06/2018,7,9018.6,30,6
14/06/2018,7,10452.8,31,6
14/06/2018,7,10249.8,32,6
14/06/2018,7,9569.1,33,6
14/06/2018,7,10028.5,34,6
14/06/2018,7,9232.1,35,6
14/06/2018,7,10873.5,36,6
14/06/2018,7,9716.3,37,6
14/06/2018,7,9264.5,38,6
14/06/2018,7,10444.1,39,6
14/06/2018,7,10309.1,40,6
14/06/2018,7,10170.9,41,6
