Date,Hour,period,value,var
18/06/2018,15,110,679.2,A_UPPER_BOUND
18/06/2018,16,111,698.0999999999998,A_UPPER_BOUND
18/06/2018,17,112,770.3,A_UPPER_BOUND
18/06/2018,18,113,735.0,A_UPPER_BOUND
18/06/2018,19,114,715.3,A_UPPER_BOUND
18/06/2018,20,115,769.0,A_UPPER_BOUND
18/06/2018,21,116,709.9,A_UPPER_BOUND
18/06/2018,22,117,771.3,A_UPPER_BOUND
18/06/2018,23,118,712.3,A_UPPER_BOUND
18/06/2018,24,119,699.1,A_UPPER_BOUND
19/06/2018,1,120,704.4,A_UPPER_BOUND
19/06/2018,2,121,761.7,A_UPPER_BOUND
19/06/2018,3,122,668.2,A_UPPER_BOUND
19/06/2018,4,123,709.3,A_UPPER_BOUND
19/06/2018,5,124,706.6,A_UPPER_BOUND
19/06/2018,6,125,790.8,A_UPPER_BOUND
19/06/2018,7,126,767.8,A_UPPER_BOUND
19/06/2018,8,127,718.4,A_UPPER_BOUND
19/06/2018,9,128,750.3,A_UPPER_BOUND
19/06/2018,10,129,712.3,A_UPPER_BOUND
19/06/2018,11,130,697.3,A_UPPER_BOUND
19/06/2018,12,131,736.1,A_UPPER_BOUND
19/06/2018,13,132,742.0,A_UPPER_BOUND
19/06/2018,14,133,694.4,A_UPPER_BOUND
19/06/2018,15,134,749.2,A_UPPER_BOUND
19/06/2018,16,135,701.8,A_UPPER_BOUND
19/06/2018,17,136,740.2,A_UPPER_BOUND
19/06/2018,18,137,670.5999999999998,A_UPPER_BOUND
19/06/2018,19,138,782.2,A_UPPER_BOUND
19/06/2018,20,139,701.6,A_UPPER_BOUND
19/06/2018,21,140,707.7,A_UPPER_BOUND
19/06/2018,22,141,683.2,A_UPPER_BOUND
19/06/2018,23,142,745.9,A_UPPER_BOUND
19/06/2018,24,143,681.0,A_UPPER_BOUND
20/06/2018,1,144,783.5999999999998,A_UPPER_BOUND
20/06/2018,2,145,753.2,A_UPPER_BOUND
20/06/2018,3,146,745.7,A_UPPER_BOUND
20/06/2018,4,147,736.2,A_UPPER_BOUND
20/06/2018,5,148,776.9,A_UPPER_BOUND
20/06/2018,6,149,760.1,A_UPPER_BOUND
20/06/2018,7,150,741.9000000000002,A_UPPER_BOUND
20/06/2018,8,151,717.5,A_UPPER_BOUND
20/06/2018,9,152,798.7,A_UPPER_BOUND
20/06/2018,10,153,727.4000000000002,A_UPPER_BOUND
20/06/2018,11,154,734.2,A_UPPER_BOUND
20/06/2018,12,155,753.6,A_UPPER_BOUND
20/06/2018,13,156,702.9,A_UPPER_BOUND
20/06/2018,14,157,731.2,A_UPPER_BOUND
20/06/2018,15,158,683.7,A_UPPER_BOUND
20/06/2018,16,159,700.8,A_UPPER_BOUND
20/06/2018,17,160,731.3,A_UPPER_BOUND
20/06/2018,18,161,733.4,A_UPPER_BOUND
20/06/2018,19,162,718.0999999999998,A_UPPER_BOUND
20/06/2018,20,163,742.0,A_UPPER_BOUND
20/06/2018,21,164,739.3,A_UPPER_BOUND
20/06/2018,22,165,686.5,A_UPPER_BOUND
20/06/2018,23,166,728.3,A_UPPER_BOUND
20/06/2018,24,167,745.9,A_UPPER_BOUND
