unit,Date,Hour,Lmax,Lmin,LmaxR,LminR,Umax,Umin,period
WIND01,15/06/2018,19,353.7,0,353.7,0,1,0,42
WIND02,15/06/2018,19,502.5,0,502.5,0,1,0,42
SOLAR01,15/06/2018,19,238.8,0,238.8,0,1,0,42
SOLAR02,15/06/2018,19,136.0,0,136.0,0,1,0,42
WIND01,15/06/2018,20,229.0,0,229.0,0,1,0,43
WIND02,15/06/2018,20,469.1,0,469.1,0,1,0,43
SOLAR01,15/06/2018,20,79.4,0,79.4,0,1,0,43
SOLAR02,15/06/2018,20,57.4,0,57.4,0,1,0,43
WIND01,15/06/2018,21,264.0,0,264.0,0,1,0,44
WIND02,15/06/2018,21,202.2,0,202.2,0,1,0,44
SOLAR01,15/06/2018,21,10.8,0,10.8,0,1,0,44
SOLAR02,15/06/2018,21,6.6,0,6.6,0,1,0,44
WIND01,15/06/2018,22,227.8,0,227.8,0,1,0,45
WIND02,15/06/2018,22,238.7,0,238.7,0,1,0,45
SOLAR01,15/06/2018,22,0.0,0,0.0,0,1,0,45
SOLAR02,15/06/2018,22,0.0,0,0.0,0,1,0,45
WIND01,15/06/2018,23,235.7,0,235.7,0,1,0,46
WIND02,15/06/2018,23,286.7,0,286.7,0,1,0,46
SOLAR01,15/06/2018,23,0.0,0,0.0,0,1,0,46
SOLAR02,15/06/2018,23,0.0,0,0.0,0,1,0,46
WIND01,15/06/2018,24,204.1,0,204.1,0,1,0,47
WIND02,15/06/2018,24,348.6,0,348.6,0,1,0,47
SOLAR01,15/06/2018,24,0.0,0,0.0,0,1,0,47
SOLAR02,15/06/2018,24,0.0,0,0.0,0,1,0,47
WIND01,16/06/2018,1,196.7,0,196.7,0,1,0,48
WIND02,16/06/2018,1,273.3,0,273.3,0,1,0,48
SOLAR01,16/06/2018,1,0.0,0,0.0,0,1,0,48
SOLAR02,16/06/2018,1,0.0,0,0.0,0,1,0,48
WIND01,16/06/2018,2,124.1,0,124.1,0,1,0,49
WIND02,16/06/2018,2,230.1,0,230.1,0,1,0,49
SOLAR01,16/06/2018,2,0.0,0,0.0,0,1,0,49
SOLAR02,16/06/2018,2,0.0,0,0.0,0,1,0,49
WIND01,16/06/2018,3,209.9,0,209.9,0,1,0,50
WIND02,16/06/2018,3,198.5,0,198.5,0,1,0,50
SOLAR01,16/06/2018,3,0.0,0,0.0,0,1,0,50
SOLAR02,16/06/2018,3,0.0,0,0.0,0,1,0,50
WIND01,16/06/2018,4,178.9,0,178.9,0,1,0,51
WIND02,16/06/2018,4,198.6,0,198.6,0,1,0,51
SOLAR01,16/06/2018,4,0.0,0,0.0,0,1,0,51
SOLAR02,16/06/2018,4,0.0,0,0.0,0,1,0,51
WIND01,16/06/2018,5,301.2,0,301.2,0,1,0,52
WIND02,16/06/2018,5,195.4,0,195.4,0,1,0,52
SOLAR01,16/06/2018,5,0.0,0,0.0,0,1,0,52
SOLAR02,16/06/2018,5,0.0,0,0.0,0,1,0,52
WIND01,16/06/2018,6,272.3,0,272.3,0,1,0,53
WIND02,16/06/2018,6,138.4,0,138.4,0,1,0,53
SOLAR01,16/06/2018,6,0.0,0,0.0,0,1,0,53
SOLAR02,16/06/2018,6,0.0,0,0.0,0,1,0,53
WIND01,16/06/2018,7,210.5,0,210.5,0,1,0,54
WIND02,16/06/2018,7,117.8,0,117.8,0,1,0,54
SOLAR01,16/06/2018,7,0.0,0,0.0,0,1,0,54
SOLAR02,16/06/2018,7,0.0,0,0.0,0,1,0,54
WIND01,16/06/2018,8,157.0,0,157.0,0,1,0,55
WIND02,16/06/2018,8,149.7,0,149.7,0,1,0,55
SOLAR01,16/06/2018,8,14.6,0,14.6,0,1,0,55
SOLAR02,16/06/2018,8,10.4,0,10.4,0,1,0,55
WIND01,16/06/2018,9,113.9,0,113.9,0,1,0,56
WIND02,16/06/2018,9,143.7,0,143.7,0,1,0,56
SOLAR01,16/06/2018,9,75.8,0,75.8,0,1,0,56
SOLAR02,16/06/2018,9,52.6,0,52.6,0,1,0,56
WIND01,16/06/2018,10,143.8,0,143.8,0,1,0,57
WIND02,16/06/2018,10,151.6,0,151.6,0,1,0,57
SOLAR01,16/06/2018,10,147.8,0,147.8,0,1,0,57
SOLAR02,16/06/2018,10,97.9,0,97.9,0,1,0,57
WIND01,16/06/2018,11,192.5,0,192.5,0,1,0,58
WIND02,16/06/2018,11,126.1,0,126.1,0,1,0,58
SOLAR01,16/06/2018,11,282.9,0,282.9,0,1,0,58
SOLAR02,16/06/2018,11,172.0,0,172.0,0,1,0,58
WIND01,16/06/2018,12,142.0,0,142.0,0,1,0,59
WIND02,16/06/2018,12,130.9,0,130.9,0,1,0,59
SOLAR01,16/06/2018,12,419.0,0,419.0,0,1,0,59
SOLAR02,16/06/2018,12,256.2,0,256.2,0,1,0,59
WIND01,16/06/2018,13,156.2,0,156.2,0,1,0,60
WIND02,16/06/2018,13,179.4,0,179.4,0,1,0,60
SOLAR01,16/06/2018,13,483.9,0,483.9,0,1,0,60
SOLAR02,16/06/2018,13,298.0,0,298.0,0,1,0,60
WIND01,16/06/2018,14,250.7,0,250.7,0,1,0,61
WIND02,16/06/2018,14,267.2,0,267.2,0,1,0,61
SOLAR01,16/06/2018,14,496.5,0,496.5,0,1,0,61
SOLAR02,16/06/2018,14,288.8,0,288.8,0,1,0,61
WIND01,16/06/2018,15,404.1,0,404.1,0,1,0,62
WIND02,16/06/2018,15,182.0,0,182.0,0,1,0,62
SOLAR01,16/06/2018,15,472.4,0,472.4,0,1,0,62
SOLAR02,16/06/2018,15,290.1,0,290.1,0,1,0,62
WIND01,16/06/2018,16,547.2,0,547.2,0,1,0,63
WIND02,16/06/2018,16,168.0,0,168.0,0,1,0,63
SOLAR01,16/06/2018,16,339.1,0,339.1,0,1,0,63
SOLAR02,16/06/2018,16,208.7,0,208.7,0,1,0,63
WIND01,16/06/2018,17,462.0,0,462.0,0,1,0,64
WIND02,16/06/2018,17,101.7,0,101.7,0,1,0,64
SOLAR01,16/06/2018,17,356.8,0,356.8,0,1,0,64
SOLAR02,16/06/2018,17,217.5,0,217.5,0,1,0,64
WIND01,16/06/2018,18,353.7,0,353.7,0,1,0,65
WIND02,16/06/2018,18,198.9,0,198.9,0,1,0,65
SOLAR01,16/06/2018,18,321.8,0,321.8,0,1,0,65
SOLAR02,16/06/2018,18,198.8,0,198.8,0,1,0,65
WIND01,16/06/2018,19,379.7,0,379.7,0,1,0,66
WIND02,16/06/2018,19,212.6,0,212.6,0,1,0,66
SOLAR01,16/06/2018,19,265.5,0,265.5,0,1,0,66
SOLAR02,16/06/2018,19,140.5,0,140.5,0,1,0,66
WIND01,16/06/2018,20,332.8,0,332.8,0,1,0,67
WIND02,16/06/2018,20,266.2,0,266.2,0,1,0,67
SOLAR01,16/06/2018,20,77.8,0,77.8,0,1,0,67
SOLAR02,16/06/2018,20,48.6,0,48.6,0,1,0,67
WIND01,16/06/2018,21,349.6,0,349.6,0,1,0,68
WIND02,16/06/2018,21,225.7,0,225.7,0,1,0,68
SOLAR01,16/06/2018,21,11.2,0,11.2,0,1,0,68
SOLAR02,16/06/2018,21,6.1,0,6.1,0,1,0,68
WIND01,16/06/2018,22,354.0,0,354.0,0,1,0,69
WIND02,16/06/2018,22,237.2,0,237.2,0,1,0,69
SOLAR01,16/06/2018,22,0.0,0,0.0,0,1,0,69
SOLAR02,16/06/2018,22,0.0,0,0.0,0,1,0,69
WIND01,16/06/2018,23,261.0,0,261.0,0,1,0,70
WIND02,16/06/2018,23,293.5,0,293.5,0,1,0,70
SOLAR01,16/06/2018,23,0.0,0,0.0,0,1,0,70
SOLAR02,16/06/2018,23,0.0,0,0.0,0,1,0,70
WIND01,16/06/2018,24,290.4,0,290.4,0,1,0,71
WIND02,16/06/2018,24,234.0,0,234.0,0,1,0,71
SOLAR01,16/06/2018,24,0.0,0,0.0,0,1,0,71
SOLAR02,16/06/2018,24,0.0,0,0.0,0,1,0,71
WIND01,17/06/2018,1,189.8,0,189.8,0,1,0,72
WIND02,17/06/2018,1,183.7,0,183.7,0,1,0,72
SOLAR01,17/06/2018,1,0.0,0,0.0,0,1,0,72
SOLAR02,17/06/2018,1,0.0,0,0.0,0,1,0,72
WIND01,17/06/2018,2,246.9,0,246.9,0,1,0,73
WIND02,17/06/2018,2,220.7,0,220.7,0,1,0,73
SOLAR01,17/06/2018,2,0.0,0,0.0,0,1,0,73
SOLAR02,17/06/2018,2,0.0,0,0.0,0,1,0,73
WIND01,17/06/2018,3,238.1,0,238.1,0,1,0,74
WIND02,17/06/2018,3,214.2,0,214.2,0,1,0,74
SOLAR01,17/06/2018,3,0.0,0,0.0,0,1,0,74
SOLAR02,17/06/2018,3,0.0,0,0.0,0,1,0,74
WIND01,17/06/2018,4,273.3,0,273.3,0,1,0,75
WIND02,17/06/2018,4,208.0,0,208.0,0,1,0,75
SOLAR01,17/06/2018,4,0.0,0,0.0,0,1,0,75
SOLAR02,17/06/2018,4,0.0,0,0.0,0,1,0,75
WIND01,17/06/2018,5,185.6,0,185.6,0,1,0,76
WIND02,17/06/2018,5,239.1,0,239.1,0,1,0,76
SOLAR01,17/06/2018,5,0.0,0,0.0,0,1,0,76
SOLAR02,17/06/2018,5,0.0,0,0.0,0,1,0,76
WIND01,17/06/2018,6,234.7,0,234.7,0,1,0,77
WIND02,17/06/2018,6,262.0,0,262.0,0,1,0,77
SOLAR01,17/06/2018,6,0.0,0,0.0,0,1,0,77
SOLAR02,17/06/2018,6,0.0,0,0.0,0,1,0,77
WIND01,17/06/2018,7,146.0,0,146.0,0,1,0,78
WIND02,17/06/2018,7,333.1,0,333.1,0,1,0,78
SOLAR01,17/06/2018,7,0.0,0,0.0,0,1,0,78
SOLAR02,17/06/2018,7,0.0,0,0.0,0,1,0,78
WIND01,17/06/2018,8,269.2,0,269.2,0,1,0,79
WIND02,17/06/2018,8,274.6,0,274.6,0,1,0,79
